title,id,price,condition,availability,channel,feed label,language,all clicks,brand,description,gtin,image link,link,rating average,rating count,shipping(country),shipping weight,update type
Amerex Wall Bracket - 20lb ABC,00577-p001-1067,10.00 CAD,new,in stock,Online,CA,en,0,Amerex,"Securely mount your 15-20 lb fire extinguisher with this universal wall hook. Designed to hold the chemical weight, not the total extinguisher weight.",,https://teslafiresystems.com/wp-content/uploads/2025/02/Universal-Fire-Extinguisher-Bracket-%E2%80%93-Wall-Hook-for-10-to-15-lb.-Extinguishers.jpg,https://teslafiresystems.com/product/universal-fire-extinguisher-wall-hook-mount-bracket-hanger-for-15-to-20-lb-extinguisher/,,,CA,1 lb,merge
Emergency Light Guard,sti-9641,44.00 CAD,new,in stock,Online,CA,en,0,,"The Emergency Light Guard offers robust protection for emergency lighting fixtures, shielding them from damage in high-traffic or industrial environments. Its durable design ensures long-lasting performance and reliability.",,https://teslafiresystems.com/wp-content/uploads/2025/01/65.-Emergency-Light-Guard-.jpg,https://teslafiresystems.com/product/emergency-light-guard/,,,CA,1 lb,
"""Fire Extinguisher Inside"" - 6"" x 9"" - Adhesive Vinyl Sign",17544,7.00 CAD,new,in stock,Online,CA,en,0,Tesla Fire Systems,"Self-adhesive vinyl safety sign stating “Fire Extinguisher Inside.” Designed for quick identification of fire extinguishers in commercial, industrial, and residential buildings.",,https://teslafiresystems.com/wp-content/uploads/2026/01/BR_BL116.png,https://teslafiresystems.com/product/fire-extinguisher-inside-6-x-9-adhesive-vinyl-sign/,,,CA,0.5 lb,merge
Amerex 715 Z-Series High Performance 30lb ABC Extinguisher,715,755.00 CAD,new,in stock,Online,CA,en,0,Amerex,"All Fire extinguishers sold by Tesla Fire Systems Inc. come inspected and fully certified for 1 year.

This 30lb fire extinguisher is designed to effectively combat Class A, B, and C fires, providing reliable fire protection for larger spaces and high-risk areas. Featuring a robust steel cylinder and all-metal valve construction, it ensures durability and dependable performance. The extinguisher comes with either a wall or vehicle bracket, allowing for easy mounting and quick access when needed.",,https://teslafiresystems.com/wp-content/uploads/2025/01/15.30-lb.-Fire-Extinguisher-Amerex-ABC-Multi-Purpose.jpg,https://teslafiresystems.com/product/30-lb-fire-extinguisher-amerex-abc-multi-purpose/,,,CA,58 lb,
ANSUL CLEANGUARD+ 27.75 lb Clean Agent Fire Extinguisher – 20-B:C – Model CA27VB,ca27vb,2031.00 CAD,new,in stock,Online,CA,en,0,Ansul,"This is your top-tier portable clean agent unit before stepping into wheeled systems.

The 27.75 lb CLEANGUARD+ is built for high-risk, high-value environments where downtime and damage are NOT acceptable.

Perfect for:

   Data centers
   Electrical distribution rooms
   Industrial control systems
   Clean manufacturing
   Mission-critical infrastructure

This unit gives you:

   Maximum discharge time
   Extended reach
   High knockdown capability
   Zero contamination risk

If a fire hits in a sensitive environment — this is the extinguisher that puts it out without creating a second problem.

   Model: CA27VB
   Agent Capacity: 27.75 lb
   UL/ULC Rating: 20-B:C
   Agent Type: FK-5-1-12 Clean Agent
   Residue-Free / No Cleanup
   Non-Conductive
   Discharge Time: ~18–20 sec
   Range: ~15–18 ft
   Heavy-Duty Commercial Build
   Rechargeable
   Warranty: 6-Year Limited",,https://teslafiresystems.com/wp-content/uploads/2026/04/ansuld.png,https://teslafiresystems.com/product/ansul-cleanguard-27-75-lb-clean-agent-fire-extinguisher-20-bc-model-ca27vb/,,,CA,40 lb,
Sprinkler Head Cabinet - 6 Heads,tsfsh-6,16.20 CAD,new,in stock,Online,CA,en,0,Tesla Fire Systems,"Holds up to 6 Spare Sprinkler Heads
   Holds common size Sprinkler Wrenches
   Holds 1/2"" & 3/4"" Sprinkler Heads
   Red Automotive Grade Powder Coated Finish
   Pre-Drilled Mounting Holes for easy installations",,https://teslafiresystems.com/wp-content/uploads/2025/12/shc1.png,https://teslafiresystems.com/product/sprinkler-head-cabinet-6-heads/,,,CA,5 lb,
Fire Safety Plan Box With No Decals,tfspb-w-1-nd,133.50 CAD,new,in stock,Online,CA,en,2,,"Ensure your building’s compliance and safety with our premium Fire Safety Plan Box, designed to provide a secure and accessible location for your fire safety plan. This robust box helps keep critical emergency documentation protected, clearly identified, and readily available for fire officials in commercial, industrial, institutional, and multi-residential buildings across Canada.",,https://teslafiresystems.com/wp-content/uploads/2026/03/n.png,https://teslafiresystems.com/product/fire-safety-plan-box-with-no-decals-copy/,,,CA,5 lb,merge
Amerex B394TS Halotron I 5.5 lb | FAA & USCG Approved,b394ts,886.50 CAD,new,in stock,Online,CA,en,0,Amerex,"All Fire extinguishers sold by Tesla Fire Systems, can be fully certified by our technicians.
   FAA Approved: For onboard aircraft use, meets FAA performance standards DOT/FAA/AR-01/37.
   Smallest FAA-approved unit designed for onboard aircraft use.
   USCG Approved: U.S Coast Guard approved when installed with approved mounting bracket.",,https://teslafiresystems.com/wp-content/uploads/2025/08/394ts.webp,https://teslafiresystems.com/product/amerex-b394ts-halotron-i-5-5lbs-fire-extinguisher/,,,CA,10 lb,
Kidde SM120X - Smoke Alarm Relay,sm120x,17.00 CAD,new,in stock,Online,CA,en,1,,"The Kidde SM120X Relay activates auxiliary warning devices like external bells, horns, or lighting when it receives a smoke signal from an interconnected Smoke Alarm, enhancing safety alerts in emergency situations.",,https://teslafiresystems.com/wp-content/uploads/2025/01/0000293_kidde-sm120x-smoke-alarm-relay-module_550.jpeg,https://teslafiresystems.com/product/smoke-alarm-relay-sm120x/,,,CA,0.5 lb,
Gunnebo Fire Department Key Box - Keyed for Toronto,18866,390.00 CAD,new,in stock,Online,CA,en,1,,,,https://teslafiresystems.com/wp-content/uploads/2026/04/GUNNEBO1.jpg,https://teslafiresystems.com/product/gunnable-fire-dept-key-box/,,,CA,2 lb,
Clear Fire Retardant - 1 Quart Spray Bottle,18873,115.54 CAD,new,in stock,Online,CA,en,13,,"Professional-grade fire retardant spray designed to slow flame spread on Class A combustible materials like fabric, wood, and décor. Easy-to-use, water-based formula for fast, code-compliant fire protection in residential, commercial, and institutional environments.",,https://teslafiresystems.com/wp-content/uploads/2026/04/Blankets-Ladders-Fire-Retardant-3-Clear-Fire-Retardant-1-Quart-Spray.png,https://teslafiresystems.com/product/clear-fire-retardant-1-quart-spray-bottle/,,,CA,3 lb,merge
Amerex B500X - 5lb ABC Multi-Purpose Fire Extinguisher - 6 Pack,b500x6,443.00 CAD,new,in stock,Online,CA,en,7,Amerex,"All Fire extinguishers come with a 6 Year Manufacturer’s Warranty.
   Certification Tag is available and is an extra fee.
   CAN/ULC Rating: 3A:10BC – Meets and exceeds Ministry of Labor standards for construction and industrial sites.
   Heavy-Duty Construction – Steel cylinder with rugged all-metal valve ensures durability in demanding environments.
   Wall Bracket Included – For quick, visible access in high-risk areas.
   Multi-Pack Convenience – Bundle of 6 extinguishers, ideal for facilities, or multi-residential needs.",,https://teslafiresystems.com/wp-content/uploads/2025/12/B500X-6-Pack.png,https://teslafiresystems.com/product/amerex-b500x-5lb-abc-multi-purpose-fire-extinguisher-6-pack/,5,1,CA,55.5 lb,merge
Fire Safety Plan Box With Decals,tfspb-w-1-wd,133.50 CAD,new,in stock,Online,CA,en,7,,"Ensure your building’s compliance and safety with our premium Fire Safety Plan Box, designed for secure and accessible storage of your fire safety plan. This robust box provides a clearly visible location for critical emergency documents and is suitable for buildings where fire safety plans are required under provincial and municipal fire code regulations across Canada.",,https://teslafiresystems.com/wp-content/uploads/2026/03/Screenshot-2026-03-28-at-7.45.53-PM.png,https://teslafiresystems.com/product/fire-safety-plan-box-with-decals/,,,CA,5 lb,merge
Amerex 398X Halotron I 15.5 lb | FAA & USCG Approved,398x,1875.00 CAD,new,in stock,Online,CA,en,1,Amerex,"All Fire extinguishers sold by Tesla Fire Systems, can be fully certified by our technicians.
   FAA Approved: For onboard aircraft use, meets FAA performance standards DOT/FAA/AR-01/37.
   USCG Approved: U.S Coast Guard approved when mounted on Amerex 895 Heavy Duty Bracket.",850026795127,https://teslafiresystems.com/wp-content/uploads/2025/09/Amerex-398-%E2%80%93-Halotron-I-15.5Lbs-Fire-Extinguisher.webp,https://teslafiresystems.com/product/amerex-398x-halotron-1-15-5lbs-fire-extinguisher-faa-uscg-approved/,,,CA,15.5 lb,merge
Inspecta-Shield Clear Fire Retardant - 5 Gallon Drum,18875,941.62 CAD,new,in stock,Online,CA,en,12,,"Professional-grade fire retardant spray designed to slow flame spread on Class A combustible materials like fabric, wood, and décor. Easy-to-use, water-based formula for fast, code-compliant fire protection in residential, commercial, and institutional environments.",,https://teslafiresystems.com/wp-content/uploads/2026/04/Blankets-Ladders-Fire-Retardant-2-Clear-Fire-Retardant-5-Gallon-Pail.png,https://teslafiresystems.com/product/inspecta-shield-clear-fire-retardant-5-gallon-drum/,,,CA,45 lb,merge
Red 5lb Plastic Cabinets,tfs-1055-r,80.00 CAD,new,in stock,Online,CA,en,1,,"Protect your 5 lb fire extinguisher with a durable, surface-mounted cabinet built for high-visibility emergency access. This Tesla Fire Systems cabinet features ABS construction with a scored acrylic front, keyed cylinder lock, break-glass hammer, and instructional decal, making it a practical choice for parking garages, warehouses, industrial areas, and construction sites.",,https://teslafiresystems.com/wp-content/uploads/2026/04/Red-Plastic-Cabinet-WM.png,https://teslafiresystems.com/product/red-5lb-plastic-cabinets/,,,CA,5 lb,merge
Microm MP-300 EOL Resistor Plate- White 3.9K 1/2 WATT,mp-300,15.00 CAD,new,in stock,Online,CA,en,0,,The MIRCOM MP-300 EOL Resistor Plate is a high-quality component designed for fire alarm systems.,,https://teslafiresystems.com/wp-content/uploads/2025/01/93.-Microm-MP-300.jpg,https://teslafiresystems.com/product/mircom-mp-300-eol-resistor-plate-white-3-9k-1-2-watt/,,,CA,0.5 lb,
10 lb Fire Extinguisher - Amerex B456 ABC Multi-Purpose,b456x,113.50 CAD,new,in stock,Online,CA,en,0,Amerex,"All Fire extinguishers come with a 6 Year Manufacturer's Warranty.
   Certification Tag is available and is an extra fee.

ABC or Multi-Purpose extinguishers are a dependable and versatile solution for fire safety, designed to combat Class A, B, and C fires. They utilize a specially fluidized and siliconized mono ammonium phosphate dry chemical that melts at approximately 350°F, forming a protective coating to insulate against Class A fires. For Class B fires, it breaks the chemical chain reaction, while its non-conductive properties ensure safe use around electrical equipment, making it effective for Class C fires.",850026795028,https://teslafiresystems.com/wp-content/uploads/2025/01/3.-10-lb-Fire-Extinguisher-Amerex-B456-ABC-Multi-Purpose.jpg,https://teslafiresystems.com/product/10-lb-fire-extinguisher-amerex-b456-abc-multi-purpose/,5,1,CA,18 lb,
Strike First 30lb Dry Chemical Heavy Duty Vehicle Bracket - HDVB-4,hdvb-4-17277,150.00 CAD,new,in stock,Online,CA,en,0,Strike First,"Designed for Strike First 30lb Dry Chemical Extinguishers
   6 1/4"" – 7 1/8"" – Diameter Fire Extinguisher
   USCG Approved
   Stainless steel pull pin with tether
   Automotive Grade powder coat finish",,https://teslafiresystems.com/wp-content/uploads/2025/12/Strike-First-HDVB.png,https://teslafiresystems.com/product/strike-first-30lb-dry-chemical-heavy-duty-vehicle-bracket-hdvb-4/,,,CA,10 lb,merge
Compact Wrench for Storz Fire Hose Coupling - 1′′ to 3′′,19316,200.00 CAD,new,in stock,Online,CA,en,2,,"Ideal Applications



   Fire hose and standpipe system servicing

   Storz coupling installation and removal

   Fire hose cabinet inspections

   Commercial, industrial, and municipal fire protection systems

   Emergency response and maintenance work



Compact. Lightweight. Built for Storz.The Style SW-1 Storz Wrench is an essential tool for anyone servicing fire hose systems equipped with Storz couplings—small enough to carry anywhere, strong enough to get the job done.",,https://teslafiresystems.com/wp-content/uploads/2026/05/SW1-Wrench.webp,https://teslafiresystems.com/product/compact-wrench-for-storz-fire-hose-coupling-1%E2%80%B3-to-3%E2%80%B3/,,,CA,2 lb,merge
5 lb Fire Extinguisher - Amerex B500TX ABC Multi-Purpose / Wrap Around Bracket,b500tx,95.00 CAD,new,in stock,Online,CA,en,0,Amerex,"All Fire extinguishers come with a 6 Year Manufacturer's Warranty.
   Certification Tag is available and is an extra fee.

The Amerex 5 lb Multi-Purpose ABC Fire Extinguisher - Model B500T offers exceptional protection for both lives and property, making it a trusted choice for over 50 years. Amerex, the world’s leading manufacturer of portable and wheeled fire extinguishers, has earned a reputation for reliable fire safety solutions. This highly regarded extinguisher, complete with a vehicle bracket, is designed to effectively combat Class A, B, and C fires, making it an essential tool for both residential and commercial settings. Whether safeguarding your home, vehicle, or business, the Amerex B500T provides comprehensive protection against ordinary materials (Class A), flammable liquids and gases (Class B), and live electrical equipment (Class C). Ideal for transportation, healthcare, education, and light industrial applications, this extinguisher ensures long-lasting, dependable performance in any environment.",,https://teslafiresystems.com/wp-content/uploads/2025/01/Untitled-1.png,https://teslafiresystems.com/product/5-lb-fire-extinguisher-amerex-b500tx-abc-multi-purpose/,,,CA,9.25 lb,
Fire Safety Plan Box,tfspb-w,133.50 CAD,new,in stock,Online,CA,en,11,,"Ensure your building’s compliance and safety with our premium Fire Safety Plan Box, designed to provide a secure and accessible location for your fire safety plan. This robust box helps keep critical emergency documentation protected, clearly identified, and readily available for fire officials in commercial, industrial, institutional, and multi-residential buildings across Canada.",,https://teslafiresystems.com/wp-content/uploads/2025/01/Screenshot-2026-03-28-at-12.59.59-PM.png,https://teslafiresystems.com/product/fire-safety-plan-box/,5,1,CA,5 lb,merge
Stainless Steel Fire Safety Plan Box With Decals,tfspb-sswd-2,495.00 CAD,new,in stock,Online,CA,en,3,Tesla Fire Systems,"Premium Stainless Steel Fire Safety Plan Cabinet with lock and key — durable, professional, and ready for buildings that require secure fire safety document storage.
Fire safety documentation must remain:


   readily available
   properly stored
   clearly identified
   accessible to fire officials

A dedicated stainless steel cabinet helps protect important documents from damage, tampering, and loss while maintaining a clean, inspection-ready appearance in commercial, industrial, and multi-residential environments
Its corrosion-resistant stainless steel body makes it especially suitable for long-term installation in demanding areas such as mechanical rooms, service corridors, parking structures, and high-humidity spaces.
Suitable across Canada for professional fire safety documentation storage",,https://teslafiresystems.com/wp-content/uploads/2026/03/Screenshot-2026-03-28-at-7.26.43-PM.png,https://teslafiresystems.com/product/stainless-steel-fire-safety-plan-box-copy/,,,CA,10 lb,merge
Strike First SF6LK I 6L I UL/ULC Approved I Kitchen Use,sf6lk,270.00 CAD,new,in stock,Online,CA,en,0,Strike First,"All Fire extinguishers sold by Tesla Fire Systems, can be fully certified by our technicians.
   Made in Canada with Canadian Materials.
   Ideal for Restaurant Kitchens & Food Trucks
   Manufactured & tested to exceed ANSI/UL 299, 711 & CAN/ULC-S504, S508. Complies to NFPA 10 standard.",,https://teslafiresystems.com/wp-content/uploads/2025/01/29.-Strike-First-6L-Type-K-Fire-Extinguisher-.jpg,https://teslafiresystems.com/product/strike-first-sf6lk-6l-ul-ulc-approved-kitchen-use/,,,CA,22 lb,
5lb Fire Extinguisher - Amerex B402X ABC Multi-Purpose,b402x,83.30 CAD,new,in stock,Online,CA,en,0,Amerex,"The ABC or Multi-Purpose extinguisher is designed for commercial use, including applications such as buses and forklifts. It contains a specially treated, siliconized mono ammonium phosphate dry chemical that melts at approximately 350°F, forming a protective coating to insulate against Class A fires. It effectively smothers Class B fires by disrupting the chemical chain reaction and is non-conductive, ensuring safety when used around electrical equipment.

   All Fire extinguishers come with a 6 Year Manufacturer's Warranty.
   Certification Tag is available and is an extra fee.",850026795011,https://teslafiresystems.com/wp-content/uploads/2025/01/7.-5lb-Fire-Extinguisher-Amerex-B402-ABC-Multi-Purpose.jpg,https://teslafiresystems.com/product/5lb-fire-extinguisher-amerex-b402-abc-multi-purpose/,,,CA,9.5 lb,
Strike First 10lb Dry Chemical & 5lb CO2 Heavy Duty Vehicle Bracket - HDVB-2,hdvb-2-17268,90.00 CAD,new,in stock,Online,CA,en,1,Strike First,"Designed for Strike First 10lb Dry Chemical & 5lb CO2 Extinguishers
   5"" - 6"" - Diameter Fire Extinguisher
   USCG Approved
   Stainless steel pull pin with tether
   Automotive Grade powder coat finish",,https://teslafiresystems.com/wp-content/uploads/2025/12/Strike-First-HDVB.png,https://teslafiresystems.com/product/strike-first-5lb-heavy-duty-vehicle-bracket-hdvb-2/,,,CA,10 lb,merge
Mircom FHS-400-WW - Wall Mount LED Horn/Strobe (White),471,120.00 CAD,new,in stock,Online,CA,en,3,,"Utilizing advanced LED technology, the FHS-400 Horn/Strobes provide a lower current draw which allows for more devices on a NAC circuit while reducing the number of external power supplies required.",,https://teslafiresystems.com/wp-content/uploads/2025/01/FHS-400-White.jpg,https://teslafiresystems.com/product/mircom-strobe/,,,CA,1.2 lb,merge
Kidde 120V 3-in-1 LED Strobe and 10-Year Talking Smoke & CO Alarm (P4010ACLEDSCOCA),p4010acledscoca,144.00 CAD,new,in stock,Online,CA,en,3,Kidde,"Advanced 3-in-1 protection. Meets Visual Signaling Requirement for Ontario Building Code.


   177 Candela Strobe synchronizes with matching interconnected P4010 series strobe alarms, during an alarm event. Powered by Cree LEDs.
   120 V hardwired with 10-year sealed battery backup (on smoke and carbon monoxide alarm)
   Voice calls out danger
   Low profile - Smaller unit that homebuilders and homeowners can be happy about displaying in their homes.
   cUL- and CSA-Listed",,https://teslafiresystems.com/wp-content/uploads/2025/01/3-in-1.jpg,https://teslafiresystems.com/product/kidde-120v-hardwired-interconnecting-3-in-1-led-strobe-and-10-year-talking-smoke-co-alarm/,,,CA,1 lb,
Smoke Check - Smoke Detector Tester,t-sdt,15.00 CAD,new,in stock,Online,CA,en,0,Tesla Fire Systems,"The Smoke Check - Smoke Detector Tester is an essential tool for testing smoke detectors, ensuring they are functioning properly. Ideal for regular maintenance and safety checks, it helps confirm the effectiveness of smoke detection systems.",712231610988,https://teslafiresystems.com/wp-content/uploads/2025/01/Smoke-Detector-Tester-2.5-oz-Steelfire-SDT__91143.jpg,https://teslafiresystems.com/product/smoke-check-smoke-detector-tester/,,,CA,1 lb,
STRIKE FIRST SF-ABC310 | 5lb ABC Multi-Purpose Fire Extinguisher w/ Wall Bracket (3-Pack),sf-310-3,143.75 CAD,new,in stock,Online,CA,en,2,Strike First,"All Fire extinguishers sold by Tesla Fire Systems Inc. come inspected and fully certified for 1 year.

Ensure safety and preparedness with the STRIKE FIRST SF-ABC310 fire extinguisher.",,https://teslafiresystems.com/wp-content/uploads/2025/02/Untitled-3.png,https://teslafiresystems.com/product/strike-first-sf-abc310-5lb-multi-purpose-fire-extinguisher-w-wall-bracket-3-pack/,,,CA,8 lb,
Sprinkler Wrench for 1/2” Heads,tsfw-15,126.40 CAD,new,in stock,Online,CA,en,1,Tesla Fire Systems,"Designed for 1/2"" fire sprinkler heads
   Prevents damage during installation or removal
   Precision-cut opening for secure grip
   Heavy-duty, corrosion-resistant steel
   Compact, lightweight, and job-site ready",,https://teslafiresystems.com/wp-content/uploads/2025/12/RS_SPWR.png,https://teslafiresystems.com/product/sprinkler-head-wrench-for-1-2/,,,CA,2 lb,merge
"Polycarbonate Fire Hose Fog Nozzle, 75 gpm, 1-1/2"" NPSH",fn15,20.50 CAD,new,in stock,Online,CA,en,0,,"The Fog Nozzle is designed to turn a stream of water into tiny droplets, creating a larger surface area to effectively smother fires. It features a 1-1/2"" National Pipe Straight Hose (NPSH) threaded inlet for easy attachment to fire hoses and a rubber bumper for impact protection. Constructed from durable polycarbonate, this nozzle is resistant to high temperatures and impacts. The adjustable stem allows for smooth transitions between a straight stream and a fog pattern, offering versatile use. With a maximum pressure rating of 100 psi and a maximum flow rate of 75 gpm, it is perfect for small-scale firefighting, as well as applications in gardens, greenhouses, dust suppression, and evaporative cooling.",,https://teslafiresystems.com/wp-content/uploads/2025/01/43.-Moon-517-151-Polycarbonate-Fire-Hose-Spray-Nozzle-75-gpm-1-12-NPSH.jpg,https://teslafiresystems.com/product/moon-517-151-polycarbonate-fire-hose-spray-nozzle-75-gpm-1-1-2-npsh/,,,CA,0.5 lb,
Emergency Light Battery 6V7AH,rlss-b672,29.00 CAD,new,in stock,Online,CA,en,1,,"The Emergency Light Replacement Battery 6V7AH is designed to replace batteries in most emergency lighting systems. Easy to install, this reliable battery ensures continuous operation of emergency lights during power outages. It comes with a standard warranty for added peace of mind.",,https://teslafiresystems.com/wp-content/uploads/2025/01/6V7AH-Battery.png,https://teslafiresystems.com/product/emergency-light-replacement-battery-6v-7-ah/,,,CA,3 lb,merge
Exit Light Guard,sti-9742,41.00 CAD,new,in stock,Online,CA,en,0,,"The Exit Light Guard is designed to protect exit signs from damage, ensuring durability and visibility. Its sturdy construction provides reliable protection in high-traffic areas.",,https://teslafiresystems.com/wp-content/uploads/2025/01/64.-Exit-Light-Guard-.jpg,https://teslafiresystems.com/product/exit-light-guard/,,,CA,1 lb,
Strike First 10lb CO2 | UL/ULC Approved | USCG Approved,sf-10co2a,320.00 CAD,new,in stock,Online,CA,en,3,Strike First,"Key Features:

   All Fire extinguishers come with a 5 Year Manufacturer's Warranty.
   Certification Tag is available and is an extra fee.
   Made in Canada with Canadian Materials.
   Multi-Purpose Protection: Effective on Class B (flammable liquids) & Class C (electrical equipment)
   Powerful Performance: UL/ULC Rating of 10B:C for superior fire suppression.
   Capacity & Range: 10lb capacity, 6-12 ft range, 12-second discharge time
   Durable Design: Built to withstand extreme temperatures from -22°F to 120°F (-30°C to 49°C).
   Certified & Compliant: Manufactured & tested to exceed ANSI/UL 154, 711 & CAN/ULC-S503, S508. Complies to NFPA 10 standard. DOT Approved Cylinder
   USCG Approved: when used on Appropriate Bracket
   Included Bracket: Hook Style Wall Bracket
   Optional Bracket: HDVB-3
   Certification tags: required for Commercial / Insurance compliance (Call Tesla Fire office for pricing).",,https://teslafiresystems.com/wp-content/uploads/2025/12/Untitled-1.png,https://teslafiresystems.com/product/strike-first-10lb-co2-ul-ulc-approved-uscg-approved/,,,CA,27 lb,merge
